# FONLL heavy quark hadroproduction cross section, calculated on Sun May2 21:38:53 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 100.025
# ymin = -1
# ymax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
1.1250 1.2025e+07 5.2550e+06 1.8529e+07 5.8860e+06 1.7641e+07 9.9040e+06 1.4694e+07 1.0115e+07 1.3935e+07 9.8329e+06 1.2691e+07 1.5886e+07 8.7885e+06 1.7641e+07 5.8860e+06
1.1750 1.2425e+07 5.4491e+06 1.9113e+07 6.0998e+06 1.8196e+07 1.0240e+07 1.5172e+07 1.0454e+07 1.4395e+07 1.0178e+07 1.3111e+07 1.6391e+07 9.0900e+06 1.8196e+07 6.0998e+06
1.2250 1.2811e+07 5.6387e+06 1.9675e+07 6.3085e+06 1.8730e+07 1.0566e+07 1.5632e+07 1.0782e+07 1.4840e+07 1.0513e+07 1.3516e+07 1.6876e+07 9.3819e+06 1.8730e+07 6.3085e+06
1.2750 1.3183e+07 5.8240e+06 2.0213e+07 6.5118e+06 1.9242e+07 1.0880e+07 1.6075e+07 1.1099e+07 1.5268e+07 1.0839e+07 1.3907e+07 1.7342e+07 9.6643e+06 1.9242e+07 6.5118e+06
1.3250 1.3542e+07 6.0047e+06 2.0728e+07 6.7097e+06 1.9732e+07 1.1184e+07 1.6500e+07 1.1404e+07 1.5680e+07 1.1154e+07 1.4282e+07 1.7789e+07 9.9370e+06 1.9732e+07 6.7097e+06
1.3750 1.3887e+07 6.1809e+06 2.1221e+07 6.9022e+06 2.0201e+07 1.1477e+07 1.6908e+07 1.1698e+07 1.6075e+07 1.1460e+07 1.4643e+07 1.8217e+07 1.0200e+07 2.0201e+07 6.9022e+06
1.4250 1.4218e+07 6.3523e+06 2.1691e+07 7.0891e+06 2.0649e+07 1.1759e+07 1.7297e+07 1.1981e+07 1.6454e+07 1.1755e+07 1.4990e+07 1.8626e+07 1.0453e+07 2.0649e+07 7.0891e+06
1.4750 1.4534e+07 6.5191e+06 2.2139e+07 7.2705e+06 2.1076e+07 1.2030e+07 1.7670e+07 1.2253e+07 1.6816e+07 1.2041e+07 1.5321e+07 1.9016e+07 1.0696e+07 2.1076e+07 7.2705e+06
1.5250 1.4838e+07 6.6812e+06 2.2565e+07 7.4463e+06 2.1482e+07 1.2290e+07 1.8024e+07 1.2513e+07 1.7162e+07 1.2316e+07 1.5637e+07 1.9389e+07 1.0930e+07 2.1482e+07 7.4463e+06
1.5750 1.5128e+07 6.8387e+06 2.2970e+07 7.6167e+06 2.1869e+07 1.2540e+07 1.8362e+07 1.2763e+07 1.7493e+07 1.2582e+07 1.5939e+07 1.9744e+07 1.1153e+07 2.1869e+07 7.6167e+06
1.6250 1.5405e+07 6.9915e+06 2.3355e+07 7.7816e+06 2.2237e+07 1.2779e+07 1.8684e+07 1.3002e+07 1.7808e+07 1.2838e+07 1.6227e+07 2.0082e+07 1.1367e+07 2.2237e+07 7.7816e+06
1.6750 1.5668e+07 7.1395e+06 2.3719e+07 7.9408e+06 2.2586e+07 1.3007e+07 1.8988e+07 1.3230e+07 1.8107e+07 1.3084e+07 1.6500e+07 2.0403e+07 1.1572e+07 2.2586e+07 7.9408e+06
1.7250 1.5919e+07 7.2827e+06 2.4064e+07 8.0945e+06 2.2916e+07 1.3226e+07 1.9276e+07 1.3448e+07 1.8390e+07 1.3320e+07 1.6759e+07 2.0708e+07 1.1766e+07 2.2916e+07 8.0945e+06
1.7750 1.6157e+07 7.4211e+06 2.4389e+07 8.2426e+06 2.3228e+07 1.3433e+07 1.9548e+07 1.3655e+07 1.8659e+07 1.3547e+07 1.7004e+07 2.0996e+07 1.1951e+07 2.3228e+07 8.2426e+06
1.8250 1.6381e+07 7.5547e+06 2.4694e+07 8.3851e+06 2.3522e+07 1.3631e+07 1.9804e+07 1.3851e+07 1.8912e+07 1.3764e+07 1.7236e+07 2.1267e+07 1.2127e+07 2.3522e+07 8.3851e+06
1.8750 1.6594e+07 7.6834e+06 2.4981e+07 8.5219e+06 2.3798e+07 1.3818e+07 2.0044e+07 1.4037e+07 1.9150e+07 1.3971e+07 1.7453e+07 2.1523e+07 1.2293e+07 2.3798e+07 8.5219e+06
1.9250 1.6793e+07 7.8073e+06 2.5248e+07 8.6531e+06 2.4057e+07 1.3995e+07 2.0269e+07 1.4214e+07 1.9373e+07 1.4168e+07 1.7657e+07 2.1762e+07 1.2449e+07 2.4057e+07 8.6531e+06
1.9750 1.6980e+07 7.9264e+06 2.5498e+07 8.7788e+06 2.4298e+07 1.4162e+07 2.0478e+07 1.4379e+07 1.9581e+07 1.4356e+07 1.7848e+07 2.1987e+07 1.2597e+07 2.4298e+07 8.7788e+06
2.0250 1.7155e+07 8.0406e+06 2.5729e+07 8.8990e+06 2.4523e+07 1.4318e+07 2.0672e+07 1.4535e+07 1.9775e+07 1.4535e+07 1.8025e+07 2.2196e+07 1.2735e+07 2.4523e+07 8.8990e+06
2.0750 1.7318e+07 8.1501e+06 2.5944e+07 9.0137e+06 2.4732e+07 1.4466e+07 2.0851e+07 1.4682e+07 1.9955e+07 1.4704e+07 1.8189e+07 2.2390e+07 1.2864e+07 2.4732e+07 9.0137e+06
2.1250 1.7470e+07 8.2549e+06 2.6142e+07 9.1229e+06 2.4926e+07 1.4604e+07 2.1016e+07 1.4819e+07 2.0121e+07 1.4865e+07 1.8340e+07 2.2570e+07 1.2984e+07 2.4926e+07 9.1229e+06
2.1750 1.7610e+07 8.3550e+06 2.6323e+07 9.2268e+06 2.5105e+07 1.4732e+07 2.1167e+07 1.4946e+07 2.0274e+07 1.5016e+07 1.8478e+07 2.2736e+07 1.3095e+07 2.5105e+07 9.2268e+06
2.2250 1.7739e+07 8.4504e+06 2.6489e+07 9.3253e+06 2.5269e+07 1.4852e+07 2.1304e+07 1.5065e+07 2.0413e+07 1.5159e+07 1.8605e+07 2.2888e+07 1.3197e+07 2.5269e+07 9.3253e+06
2.2750 1.7857e+07 8.5412e+06 2.6639e+07 9.4185e+06 2.5418e+07 1.4962e+07 2.1428e+07 1.5174e+07 2.0539e+07 1.5293e+07 1.8719e+07 2.3027e+07 1.3291e+07 2.5418e+07 9.4185e+06
2.3250 1.7964e+07 8.6272e+06 2.6773e+07 9.5064e+06 2.5553e+07 1.5064e+07 2.1538e+07 1.5275e+07 2.0653e+07 1.5418e+07 1.8821e+07 2.3152e+07 1.3376e+07 2.5553e+07 9.5064e+06
2.3750 1.8060e+07 8.7087e+06 2.6893e+07 9.5891e+06 2.5675e+07 1.5156e+07 2.1636e+07 1.5367e+07 2.0754e+07 1.5535e+07 1.8912e+07 2.3264e+07 1.3454e+07 2.5675e+07 9.5891e+06
2.4250 1.8147e+07 8.7857e+06 2.6998e+07 9.6666e+06 2.5782e+07 1.5241e+07 2.1721e+07 1.5450e+07 2.0843e+07 1.5643e+07 1.8991e+07 2.3364e+07 1.3523e+07 2.5782e+07 9.6666e+06
2.4750 1.8223e+07 8.8581e+06 2.7089e+07 9.7391e+06 2.5877e+07 1.5316e+07 2.1794e+07 1.5525e+07 2.0920e+07 1.5743e+07 1.9060e+07 2.3452e+07 1.3585e+07 2.5877e+07 9.7391e+06
2.5250 1.8289e+07 8.9260e+06 2.7167e+07 9.8065e+06 2.5958e+07 1.5384e+07 2.1855e+07 1.5592e+07 2.0986e+07 1.5835e+07 1.9118e+07 2.3527e+07 1.3639e+07 2.5958e+07 9.8065e+06
2.5750 1.8346e+07 8.9895e+06 2.7231e+07 9.8690e+06 2.6028e+07 1.5444e+07 2.1905e+07 1.5650e+07 2.1040e+07 1.5919e+07 1.9165e+07 2.3591e+07 1.3685e+07 2.6028e+07 9.8690e+06
2.6250 1.8392e+07 9.0487e+06 2.7282e+07 9.9265e+06 2.6085e+07 1.5496e+07 2.1943e+07 1.5701e+07 2.1084e+07 1.5995e+07 1.9201e+07 2.3642e+07 1.3724e+07 2.6085e+07 9.9265e+06
2.6750 1.8430e+07 9.1035e+06 2.7320e+07 9.9792e+06 2.6130e+07 1.5540e+07 2.1969e+07 1.5745e+07 2.1116e+07 1.6064e+07 1.9228e+07 2.3683e+07 1.3756e+07 2.6130e+07 9.9792e+06
2.7250 1.8459e+07 9.1541e+06 2.7346e+07 1.0027e+07 2.6164e+07 1.5577e+07 2.1985e+07 1.5780e+07 2.1138e+07 1.6124e+07 1.9244e+07 2.3712e+07 1.3780e+07 2.6164e+07 1.0027e+07
2.7750 1.8479e+07 9.2005e+06 2.7360e+07 1.0070e+07 2.6187e+07 1.5607e+07 2.1990e+07 1.5809e+07 2.1150e+07 1.6178e+07 1.9251e+07 2.3730e+07 1.3798e+07 2.6187e+07 1.0070e+07
2.8250 1.8491e+07 9.2428e+06 2.7362e+07 1.0109e+07 2.6198e+07 1.5630e+07 2.1986e+07 1.5830e+07 2.1152e+07 1.6224e+07 1.9249e+07 2.3738e+07 1.3808e+07 2.6198e+07 1.0109e+07
2.8750 1.8495e+07 9.2811e+06 2.7353e+07 1.0143e+07 2.6199e+07 1.5645e+07 2.1971e+07 1.5845e+07 2.1144e+07 1.6263e+07 1.9237e+07 2.3736e+07 1.3813e+07 2.6199e+07 1.0143e+07
2.9250 1.8490e+07 9.3153e+06 2.7333e+07 1.0173e+07 2.6190e+07 1.5655e+07 2.1946e+07 1.5853e+07 2.1127e+07 1.6296e+07 1.9217e+07 2.3724e+07 1.3811e+07 2.6190e+07 1.0173e+07
2.9750 1.8478e+07 9.3456e+06 2.7302e+07 1.0198e+07 2.6171e+07 1.5657e+07 2.1913e+07 1.5854e+07 2.1102e+07 1.6321e+07 1.9188e+07 2.3702e+07 1.3803e+07 2.6171e+07 1.0198e+07
3.0250 1.8458e+07 9.3721e+06 2.7261e+07 1.0219e+07 2.6142e+07 1.5654e+07 2.1870e+07 1.5849e+07 2.1067e+07 1.6340e+07 1.9152e+07 2.3670e+07 1.3790e+07 2.6142e+07 1.0219e+07
3.0750 1.8431e+07 9.3947e+06 2.7210e+07 1.0236e+07 2.6104e+07 1.5644e+07 2.1819e+07 1.5838e+07 2.1025e+07 1.6352e+07 1.9107e+07 2.3630e+07 1.3770e+07 2.6104e+07 1.0236e+07
3.1250 1.8397e+07 9.4135e+06 2.7149e+07 1.0248e+07 2.6056e+07 1.5628e+07 2.1760e+07 1.5821e+07 2.0974e+07 1.6358e+07 1.9055e+07 2.3581e+07 1.3745e+07 2.6056e+07 1.0248e+07
3.1750 1.8357e+07 9.4285e+06 2.7079e+07 1.0257e+07 2.5999e+07 1.5607e+07 2.1692e+07 1.5798e+07 2.0916e+07 1.6358e+07 1.8996e+07 2.3523e+07 1.3715e+07 2.5999e+07 1.0257e+07
3.2250 1.8309e+07 9.4400e+06 2.7000e+07 1.0262e+07 2.5934e+07 1.5580e+07 2.1617e+07 1.5769e+07 2.0850e+07 1.6352e+07 1.8930e+07 2.3457e+07 1.3680e+07 2.5934e+07 1.0262e+07
3.2750 1.8256e+07 9.4479e+06 2.6912e+07 1.0263e+07 2.5860e+07 1.5547e+07 2.1535e+07 1.5735e+07 2.0777e+07 1.6340e+07 1.8857e+07 2.3383e+07 1.3640e+07 2.5860e+07 1.0263e+07
3.3250 1.8196e+07 9.4524e+06 2.6816e+07 1.0260e+07 2.5778e+07 1.5509e+07 2.1445e+07 1.5695e+07 2.0697e+07 1.6322e+07 1.8778e+07 2.3302e+07 1.3595e+07 2.5778e+07 1.0260e+07
3.3750 1.8130e+07 9.4535e+06 2.6711e+07 1.0254e+07 2.5688e+07 1.5467e+07 2.1349e+07 1.5650e+07 2.0611e+07 1.6298e+07 1.8693e+07 2.3213e+07 1.3546e+07 2.5688e+07 1.0254e+07
3.4250 1.8059e+07 9.4515e+06 2.6599e+07 1.0244e+07 2.5591e+07 1.5419e+07 2.1246e+07 1.5601e+07 2.0518e+07 1.6270e+07 1.8602e+07 2.3117e+07 1.3492e+07 2.5591e+07 1.0244e+07
3.4750 1.7983e+07 9.4464e+06 2.6479e+07 1.0231e+07 2.5486e+07 1.5366e+07 2.1137e+07 1.5546e+07 2.0419e+07 1.6236e+07 1.8506e+07 2.3014e+07 1.3434e+07 2.5486e+07 1.0231e+07
3.5250 1.7901e+07 9.4382e+06 2.6352e+07 1.0215e+07 2.5375e+07 1.5310e+07 2.1021e+07 1.5487e+07 2.0315e+07 1.6197e+07 1.8404e+07 2.2905e+07 1.3373e+07 2.5375e+07 1.0215e+07
