# FONLL heavy quark hadroproduction cross section, calculated on Sun May2 21:39:07 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 100.025
# ymin = -1
# ymax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
1.1250 6.3486e+06 3.2239e+06 9.7348e+06 3.5945e+06 9.2439e+06 5.1543e+06 7.8755e+06 5.4810e+06 7.2161e+06 5.8741e+06 6.3083e+06 8.0612e+06 4.6600e+06 9.2439e+06 3.5945e+06
1.1750 6.5559e+06 3.3391e+06 1.0036e+07 3.7212e+06 9.5300e+06 5.3263e+06 8.1264e+06 5.6613e+06 7.4504e+06 6.0734e+06 6.5147e+06 8.3154e+06 4.8169e+06 9.5300e+06 3.7212e+06
1.2250 6.7555e+06 3.4514e+06 1.0325e+07 3.8443e+06 9.8040e+06 5.4925e+06 8.3673e+06 5.8351e+06 7.6759e+06 6.2663e+06 6.7133e+06 8.5594e+06 4.9684e+06 9.8040e+06 3.8443e+06
1.2750 6.9474e+06 3.5604e+06 1.0600e+07 3.9637e+06 1.0066e+07 5.6527e+06 8.5981e+06 6.0024e+06 7.8924e+06 6.4526e+06 6.9042e+06 8.7931e+06 5.1144e+06 1.0066e+07 3.9637e+06
1.3250 7.1314e+06 3.6663e+06 1.0863e+07 4.0795e+06 1.0316e+07 5.8069e+06 8.8187e+06 6.1630e+06 8.0998e+06 6.6323e+06 7.0872e+06 9.0166e+06 5.2549e+06 1.0316e+07 4.0795e+06
1.3750 7.3077e+06 3.7690e+06 1.1114e+07 4.1914e+06 1.0554e+07 5.9550e+06 9.0292e+06 6.3171e+06 8.2982e+06 6.8054e+06 7.2624e+06 9.2299e+06 5.3899e+06 1.0554e+07 4.1914e+06
1.4250 7.4761e+06 3.8684e+06 1.1351e+07 4.2996e+06 1.0781e+07 6.0971e+06 9.2295e+06 6.4646e+06 8.4876e+06 6.9717e+06 7.4297e+06 9.4329e+06 5.5192e+06 1.0781e+07 4.2996e+06
1.4750 7.6367e+06 3.9645e+06 1.1577e+07 4.4039e+06 1.0995e+07 6.2331e+06 9.4196e+06 6.6055e+06 8.6680e+06 7.1314e+06 7.5890e+06 9.6258e+06 5.6430e+06 1.0995e+07 4.4039e+06
1.5250 7.7895e+06 4.0574e+06 1.1789e+07 4.5044e+06 1.1198e+07 6.3631e+06 9.5998e+06 6.7398e+06 8.8393e+06 7.2845e+06 7.7404e+06 9.8086e+06 5.7610e+06 1.1198e+07 4.5044e+06
1.5750 7.9347e+06 4.1469e+06 1.1990e+07 4.6011e+06 1.1390e+07 6.4871e+06 9.7700e+06 6.8677e+06 9.0017e+06 7.4310e+06 7.8840e+06 9.9817e+06 5.8735e+06 1.1390e+07 4.6011e+06
1.6250 8.0723e+06 4.2333e+06 1.2180e+07 4.6940e+06 1.1572e+07 6.6051e+06 9.9305e+06 6.9892e+06 9.1553e+06 7.5711e+06 8.0199e+06 1.0145e+07 5.9804e+06 1.1572e+07 4.6940e+06
1.6750 8.2023e+06 4.3163e+06 1.2358e+07 4.7831e+06 1.1742e+07 6.7173e+06 1.0081e+07 7.1044e+06 9.3002e+06 7.7046e+06 8.1479e+06 1.0299e+07 6.0816e+06 1.1742e+07 4.7831e+06
1.7250 8.3248e+06 4.3959e+06 1.2524e+07 4.8684e+06 1.1902e+07 6.8236e+06 1.0223e+07 7.2134e+06 9.4363e+06 7.8317e+06 8.2683e+06 1.0444e+07 6.1774e+06 1.1902e+07 4.8684e+06
1.7750 8.4399e+06 4.4723e+06 1.2679e+07 4.9498e+06 1.2051e+07 6.9240e+06 1.0354e+07 7.3160e+06 9.5639e+06 7.9524e+06 8.3811e+06 1.0579e+07 6.2676e+06 1.2051e+07 4.9498e+06
1.8250 8.5477e+06 4.5453e+06 1.2823e+07 5.0274e+06 1.2190e+07 7.0185e+06 1.0477e+07 7.4125e+06 9.6830e+06 8.0666e+06 8.4863e+06 1.0705e+07 6.3524e+06 1.2190e+07 5.0274e+06
1.8750 8.6483e+06 4.6149e+06 1.2956e+07 5.1012e+06 1.2319e+07 7.1074e+06 1.0590e+07 7.5028e+06 9.7938e+06 8.1745e+06 8.5841e+06 1.0822e+07 6.4318e+06 1.2319e+07 5.1012e+06
1.9250 8.7418e+06 4.6812e+06 1.3079e+07 5.1712e+06 1.2438e+07 7.1906e+06 1.0695e+07 7.5871e+06 9.8965e+06 8.2761e+06 8.6746e+06 1.0930e+07 6.5058e+06 1.2438e+07 5.1712e+06
1.9750 8.8283e+06 4.7441e+06 1.3191e+07 5.2375e+06 1.2547e+07 7.2681e+06 1.0790e+07 7.6655e+06 9.9911e+06 8.3715e+06 8.7579e+06 1.1029e+07 6.5746e+06 1.2547e+07 5.2375e+06
2.0250 8.9079e+06 4.8038e+06 1.3293e+07 5.2999e+06 1.2647e+07 7.3402e+06 1.0877e+07 7.7380e+06 1.0078e+07 8.4608e+06 8.8341e+06 1.1119e+07 6.6383e+06 1.2647e+07 5.2999e+06
2.0750 8.9807e+06 4.8602e+06 1.3385e+07 5.3587e+06 1.2738e+07 7.4068e+06 1.0955e+07 7.8048e+06 1.0157e+07 8.5441e+06 8.9032e+06 1.1202e+07 6.6967e+06 1.2738e+07 5.3587e+06
2.1250 9.0468e+06 4.9134e+06 1.3467e+07 5.4138e+06 1.2819e+07 7.4681e+06 1.1025e+07 7.8660e+06 1.0228e+07 8.6215e+06 8.9654e+06 1.1276e+07 6.7500e+06 1.2819e+07 5.4138e+06
2.1750 9.1063e+06 4.9634e+06 1.3541e+07 5.4654e+06 1.2893e+07 7.5241e+06 1.1087e+07 7.9216e+06 1.0291e+07 8.6932e+06 9.0207e+06 1.1342e+07 6.7981e+06 1.2893e+07 5.4654e+06
2.2250 9.1595e+06 5.0103e+06 1.3605e+07 5.5133e+06 1.2957e+07 7.5750e+06 1.1141e+07 7.9718e+06 1.0347e+07 8.7591e+06 9.0693e+06 1.1400e+07 6.8413e+06 1.2957e+07 5.5133e+06
2.2750 9.2063e+06 5.0541e+06 1.3660e+07 5.5577e+06 1.3014e+07 7.6209e+06 1.1186e+07 8.0168e+06 1.0396e+07 8.8194e+06 9.1114e+06 1.1450e+07 6.8797e+06 1.3014e+07 5.5577e+06
2.3250 9.2471e+06 5.0948e+06 1.3706e+07 5.5987e+06 1.3062e+07 7.6618e+06 1.1225e+07 8.0565e+06 1.0438e+07 8.8742e+06 9.1472e+06 1.1493e+07 6.9133e+06 1.3062e+07 5.5987e+06
2.3750 9.2818e+06 5.1325e+06 1.3744e+07 5.6362e+06 1.3103e+07 7.6979e+06 1.1256e+07 8.0912e+06 1.0472e+07 8.9237e+06 9.1767e+06 1.1529e+07 6.9422e+06 1.3103e+07 5.6362e+06
2.4250 9.3108e+06 5.1672e+06 1.3774e+07 5.6704e+06 1.3136e+07 7.7293e+06 1.1280e+07 8.1209e+06 1.0501e+07 8.9679e+06 9.2003e+06 1.1558e+07 6.9666e+06 1.3136e+07 5.6704e+06
2.4750 9.3342e+06 5.1990e+06 1.3797e+07 5.7013e+06 1.3162e+07 7.7561e+06 1.1296e+07 8.1459e+06 1.0522e+07 9.0070e+06 9.2179e+06 1.1580e+07 6.9867e+06 1.3162e+07 5.7013e+06
2.5250 9.3520e+06 5.2279e+06 1.3811e+07 5.7290e+06 1.3180e+07 7.7784e+06 1.1306e+07 8.1661e+06 1.0538e+07 9.0411e+06 9.2299e+06 1.1595e+07 7.0024e+06 1.3180e+07 5.7290e+06
2.5750 9.3645e+06 5.2539e+06 1.3818e+07 5.7535e+06 1.3192e+07 7.7964e+06 1.1310e+07 8.1818e+06 1.0547e+07 9.0702e+06 9.2364e+06 1.1603e+07 7.0140e+06 1.3192e+07 5.7535e+06
2.6250 9.3718e+06 5.2770e+06 1.3818e+07 5.7748e+06 1.3197e+07 7.8100e+06 1.1307e+07 8.1929e+06 1.0551e+07 9.0943e+06 9.2375e+06 1.1606e+07 7.0216e+06 1.3197e+07 5.7748e+06
2.6750 9.3741e+06 5.2973e+06 1.3811e+07 5.7929e+06 1.3196e+07 7.8196e+06 1.1298e+07 8.1998e+06 1.0548e+07 9.1137e+06 9.2334e+06 1.1602e+07 7.0252e+06 1.3196e+07 5.7929e+06
2.7250 9.3716e+06 5.3148e+06 1.3797e+07 5.8080e+06 1.3188e+07 7.8251e+06 1.1284e+07 8.2024e+06 1.0541e+07 9.1285e+06 9.2244e+06 1.1592e+07 7.0251e+06 1.3188e+07 5.8080e+06
2.7750 9.3643e+06 5.3296e+06 1.3777e+07 5.8202e+06 1.3174e+07 7.8267e+06 1.1263e+07 8.2010e+06 1.0528e+07 9.1387e+06 9.2105e+06 1.1577e+07 7.0213e+06 1.3174e+07 5.8202e+06
2.8250 9.3526e+06 5.3418e+06 1.3750e+07 5.8294e+06 1.3154e+07 7.8246e+06 1.1237e+07 8.1955e+06 1.0510e+07 9.1445e+06 9.1919e+06 1.1556e+07 7.0139e+06 1.3154e+07 5.8294e+06
2.8750 9.3364e+06 5.3514e+06 1.3718e+07 5.8359e+06 1.3128e+07 7.8187e+06 1.1206e+07 8.1863e+06 1.0486e+07 9.1461e+06 9.1689e+06 1.1530e+07 7.0031e+06 1.3128e+07 5.8359e+06
2.9250 9.3160e+06 5.3586e+06 1.3679e+07 5.8396e+06 1.3097e+07 7.8093e+06 1.1170e+07 8.1734e+06 1.0459e+07 9.1435e+06 9.1416e+06 1.1498e+07 6.9890e+06 1.3097e+07 5.8396e+06
2.9750 9.2916e+06 5.3632e+06 1.3635e+07 5.8406e+06 1.3060e+07 7.7965e+06 1.1129e+07 8.1569e+06 1.0426e+07 9.1369e+06 9.1101e+06 1.1462e+07 6.9717e+06 1.3060e+07 5.8406e+06
3.0250 9.2632e+06 5.3655e+06 1.3586e+07 5.8391e+06 1.3019e+07 7.7804e+06 1.1084e+07 8.1370e+06 1.0390e+07 9.1264e+06 9.0746e+06 1.1421e+07 6.9514e+06 1.3019e+07 5.8391e+06
3.0750 9.2311e+06 5.3655e+06 1.3532e+07 5.8350e+06 1.2972e+07 7.7611e+06 1.1034e+07 8.1138e+06 1.0348e+07 9.1122e+06 9.0354e+06 1.1375e+07 6.9281e+06 1.2972e+07 5.8350e+06
3.1250 9.1954e+06 5.3632e+06 1.3472e+07 5.8285e+06 1.2921e+07 7.7387e+06 1.0979e+07 8.0873e+06 1.0303e+07 9.0943e+06 8.9924e+06 1.1325e+07 6.9019e+06 1.2921e+07 5.8285e+06
3.1750 9.1561e+06 5.3587e+06 1.3408e+07 5.8196e+06 1.2866e+07 7.7133e+06 1.0921e+07 8.0578e+06 1.0254e+07 9.0729e+06 8.9460e+06 1.1271e+07 6.8731e+06 1.2866e+07 5.8196e+06
3.2250 9.1136e+06 5.3521e+06 1.3340e+07 5.8085e+06 1.2806e+07 7.6851e+06 1.0859e+07 8.0253e+06 1.0202e+07 9.0481e+06 8.8962e+06 1.1212e+07 6.8416e+06 1.2806e+07 5.8085e+06
3.2750 9.0678e+06 5.3434e+06 1.3267e+07 5.7951e+06 1.2742e+07 7.6541e+06 1.0793e+07 7.9900e+06 1.0146e+07 9.0200e+06 8.8433e+06 1.1150e+07 6.8076e+06 1.2742e+07 5.7951e+06
3.3250 9.0190e+06 5.3328e+06 1.3190e+07 5.7796e+06 1.2673e+07 7.6204e+06 1.0723e+07 7.9520e+06 1.0086e+07 8.9888e+06 8.7873e+06 1.1084e+07 6.7713e+06 1.2673e+07 5.7796e+06
3.3750 8.9674e+06 5.3202e+06 1.3109e+07 5.7621e+06 1.2601e+07 7.5843e+06 1.0650e+07 7.9114e+06 1.0023e+07 8.9545e+06 8.7285e+06 1.1015e+07 6.7326e+06 1.2601e+07 5.7621e+06
3.4250 8.9129e+06 5.3057e+06 1.3024e+07 5.7425e+06 1.2526e+07 7.5457e+06 1.0574e+07 7.8684e+06 9.9574e+06 8.9173e+06 8.6669e+06 1.0942e+07 6.6918e+06 1.2526e+07 5.7425e+06
3.4750 8.8558e+06 5.2895e+06 1.2936e+07 5.7211e+06 1.2447e+07 7.5048e+06 1.0495e+07 7.8229e+06 9.8886e+06 8.8773e+06 8.6027e+06 1.0866e+07 6.6489e+06 1.2447e+07 5.7211e+06
3.5250 8.7962e+06 5.2715e+06 1.2845e+07 5.6978e+06 1.2364e+07 7.4616e+06 1.0413e+07 7.7752e+06 9.8171e+06 8.8347e+06 8.5360e+06 1.0787e+07 6.6040e+06 1.2364e+07 5.6978e+06
